,zipcode,% Foreign,% Uninsured,% Vehicle Access,% Food Stamps,% Teen Birth Rate,Urban
0,10001,16.230927481570376,6.31321789816561,77.5100695715855,51.2900737184982,5.7,1
1,10002,16.30173120262241,7.873642696168817,76.8768502072232,42.67440073755378,17.7,1
2,10003,12.463226874768793,5.066323744428981,77.21011770598547,48.01733401448025,0.6,1
3,10004,15.177398160315375,6.241787122207622,76.513671875,52.29960578186597,0.0,1
4,10005,16.21125143513203,5.7749712973593565,85.05678421996413,49.311136624569464,0.0,1
5,10006,15.685077815074768,4.882514494964907,83.8841289269686,54.19591089411047,,1
6,10007,17.626112759643913,1.0830860534124631,58.86965927528394,40.69732937685461,0.0,1
7,10009,11.426612485158616,8.501814411612234,77.30054025012686,50.2717436746434,18.4,1
8,10010,11.0671455530529,5.320508918244354,73.11275133621787,48.913374322761314,1.2,1
9,10011,11.292754543290215,4.592889453217999,74.96482535021717,57.01531624474248,4.7,1
10,10012,16.021356374307143,5.4165308118682765,81.02737905369484,49.88588196935116,2.9,1
11,10013,14.838183687214205,6.213888199638437,70.47230943950831,42.302647903300134,2.0,1
12,10014,11.139715230104251,3.3276125095347058,76.2136372058551,59.34083396898042,3.2,1
13,10016,12.693283641265564,3.9925461898342713,78.84310371637382,56.21877725794941,4.7,1
14,10017,16.010403435553137,4.875098288271942,79.38852627962898,61.295590636907995,3.4,1
15,10018,28.40768277571252,7.0735233374638575,82.32551362377968,51.17719950433705,3.0,1
16,10019,15.40817618023035,5.834704467788888,83.3004809587637,59.39754461460575,15.8,1
17,10021,11.013897174167605,3.4157442389695323,66.5880503144654,54.258633260422876,0.6,1
18,10022,6.800608023263497,2.4816601678672923,68.23741197649177,58.221531954266084,2.3,1
19,10023,11.328701477440429,3.9365247815344815,69.01794395827807,54.95879416983103,3.8,1
20,10024,9.56319639073074,5.360926925968966,67.34966196180761,49.232688495454255,5.1,1
21,10025,12.450774412196331,5.4161343792561,66.16126809097175,45.16929379097734,8.6,1
22,10026,12.140633108458744,8.905033731188377,73.47946725860155,38.40944473274521,19.7,1
23,10027,16.291328758577663,8.537117903930131,67.81604742164194,35.76575171553337,9.5,1
24,10028,9.067524115755628,5.101130588113267,67.31928731115778,53.59817446322995,6.6,1
25,10029,13.025903212401305,10.793215045774515,75.85889667861562,38.58407525405801,23.7,1
26,10030,11.683905395612356,12.61940839317478,74.87853021560886,39.1264246656565,26.7,1
27,10031,21.190233308104904,15.688242456151896,74.1886913342944,36.001513705617164,22.2,1
28,10032,23.595879029577926,15.043757616040768,72.44015288674312,31.87263606007375,30.2,1
29,10033,23.663504793355013,11.440028305224672,70.3765751329303,32.729600862635415,25.7,1
30,10034,24.47043298218471,12.777866260153349,66.45217475446321,36.04241086664696,22.8,1
31,10035,16.64960365051043,12.5837306578524,69.6353999357533,39.43019276333109,30.6,1
32,10036,19.971524223650285,6.4763150806172325,84.37294091807598,59.906876515180656,7.9,1
33,10037,8.611774065234686,8.726133651551311,71.45948545323395,46.325576770087515,24.2,1
34,10038,15.704035874439466,5.255605381165919,77.35035363118854,45.05829596412557,6.0,1
35,10039,13.064686396563651,11.306468639656364,74.13298806991585,39.51803720286848,26.2,1
36,10040,25.00832722670043,11.818000133235627,68.19953596287704,35.72047165412031,24.7,1
37,10044,38.49629187622538,7.228710254880233,68.1843627542452,40.83198363310886,3.7,1
38,10065,12.079597346755106,3.1965601146628453,67.31175620064509,54.891503616546096,2.2,1
39,10075,11.745814242281506,3.053140924078277,58.32434376123696,54.6653534877746,1.6,1
40,10128,11.473510459321338,3.774243722820049,69.54580901928094,51.028473478716315,2.5,1
41,10280,16.292534281361096,4.814626714068055,71.27319257837492,48.75571356018282,0.0,1
42,10301,10.41018244388775,7.555859206963737,21.054286972384727,36.339482274349045,21.1,1
43,10302,14.416037842099335,12.968802793107333,16.008316008316008,34.19303975672936,39.3,1
44,10303,12.12441983551828,9.416985587492873,11.1528429838289,33.07548245256901,25.6,1
45,10304,12.374566034146572,10.562609977647783,21.13797512495641,34.881343035145285,21.5,1
46,10305,10.28338911227217,8.195892422892639,9.758364312267656,35.06368429923194,10.5,1
47,10306,5.7331322345587035,4.99354909051262,6.628077612913746,36.83560175173993,7.6,1
48,10307,1.6563011456628478,5.865793780687397,5.464824120603014,33.57119476268412,1.9,1
49,10308,5.674366494216891,4.616601311497019,3.3836986592892098,35.150097208949816,2.8,1
50,10309,3.4639409426462238,3.5326817896530085,2.1896856003660368,33.61427418631758,4.7,1
51,10310,8.993814432989689,9.892783505154641,13.55452154562007,34.243298969072164,26.0,1
52,10312,2.6480287444012407,3.225541828682056,2.281368821292776,34.964151531558144,2.6,1
53,10314,6.463848281311735,5.697352824970367,5.182896191337554,35.329909126827346,6.2,1
54,10451,16.612479032491873,12.59085920188863,64.72365897599815,38.28822299074323,35.7,1
55,10452,24.89905429816173,14.161619381574752,65.16256995112276,34.221921156093934,37.6,1
56,10453,23.370510209150986,13.526504048884695,65.79219307310244,33.83178498683492,34.9,1
57,10454,17.294159946581747,16.819045662334993,68.99703359255993,32.970363141404285,36.5,1
58,10455,19.413731036256106,15.301900465181514,59.93890020366599,33.25229668762711,37.7,1
59,10456,20.066442315989303,11.600440072482526,60.62225313814146,32.11126930710157,41.3,1
60,10457,24.311579516281586,13.337386839616268,59.93848366221938,32.54830428320497,39.8,1
61,10458,23.72151093050013,15.012607407770078,65.76170376055256,33.04854464001567,33.1,1
62,10459,19.51971983657133,14.583507045776706,59.63166676966814,33.08179771533394,36.1,1
63,10460,19.541698470115822,12.358543789201207,36.43937942922812,33.14306574187768,31.7,1
64,10461,12.643518057904688,10.773057407223165,24.84787018255578,37.570391005870064,20.4,1
65,10462,16.245157192759603,10.179739599872976,46.274704374431494,37.393458240711325,25.4,1
66,10463,13.610673067530039,8.521149364332864,39.28672694622097,38.52659195891539,16.7,1
67,10464,2.511627906976744,8.0,7.829742511823437,43.95348837209303,8.8,1
68,10465,5.530589543937708,6.9988876529477215,11.736153688943393,34.80978865406007,13.3,1
69,10466,15.667527392002235,11.689580570870259,28.79947446214485,32.180891897550424,24.2,1
70,10467,20.73560095104081,13.18744237954292,47.10096093847498,34.800329952933176,29.2,1
71,10468,25.698664230774327,15.295815295815293,65.34542743538768,33.73843282100163,36.2,1
72,10469,14.337742799732089,9.418955123911589,20.91603551841212,30.44903996427774,21.4,1
73,10470,13.469191711266642,10.113901468368327,26.406295540658693,39.79689858652395,26.5,1
74,10471,7.953335493727143,4.722003610943938,17.378416950268967,39.87778343595204,3.3,1
